Title,Categories,Author,Narrated By,Series,Length (Hours),Length (Minutes),ReleaseDate,Price,Ratings,Overall Rating Out of 5,Performance Rating out of 5,Story Rating out of 5,Overall 5 stars amount,Overall 4 star amount,Overall 3 star amount,Overall 2 star amount,Overall 1 star amount,Performance 5 star amount,Performance 4 star amount,Performance 3 star amount,Performance 2 star amount,Performance 1 star amount,Story 5 star amount,story 4 star amount,Story 3 star amount,Story 2 star amount,Story 1 star amount,1 Review header,1 Review body,1 Review helpful count,2 Review Header,2 Review body,2 Review helpful count,3 Review Header,3 Review Body,3 Review helpful count,,,,,,,
Diary of a Psychosis,Politics & Social Sciences,Thomas E Woods Jr,Thomas E Woods Jr,,13,2,1/19/2024,24.95,29,5,5,5,29,0,0,0,0,28,0,0,0,0,27,1,0,0,0,Woods is a National if not Planetary Hero,"Dr. Woods recounts his life as an intellectual and historian while one of the greatest crimes against humanity became the new normal. He provides a rare case study in how facts and common sense can red-pill the individual who can think as clealry as he does. And he very persuasively establishes the propsition that if you want to know what's good for you, you had best do a little digging and shun the sources that you know have lied to you. He also proposes that you should seek the company of sane, effective and decent people. I recommend getting the audio-book version and sharing it with the family.",,"Tom Woods, Destroyer of Narratives","""A gripping account of the madness that still continues to this day. Mainstream news junkies (and those that identify as politically progressive) who read this will either be shocked at the facts presented here, or so incredulous as to assume this is a work of fiction. Those familiar with these truths will be reminded of just how far the corporate media, the medical establishment, and the federal government have disgraced themselves beyond repair.",1 person found this helpful,Lockdown Survivors Unite,This is my second Tom Woods book. This author really knocks it out of the park! His intellect is amazing and relatable and that is a difficult target. Read this and keep up the good fight.,,,,,,,,
Spare,Politics & Social Sciences,Prince Harry The Duke of Sussex,Prince Harry The Duke of Sussex,,15,39,1/10/2023,32.4,69361,4.8,4.9,4.8,60348,5594,1756,704,959,59183,3050,869,368,633,55625,5132,1559,645,934,"Somewhere, Diana is so proud.","Harry breaking free of the establishment that tormented him and his mother makes for an incredibly empowering story. After decades of hearing his story through his toxic family and the British press, it’s time to actually listen to him. For anyone that has dealt with toxic family, the core of his story is surprisingly relatable. Hopefully more people will look beyond the tabloid narrative and the carpet bomb reviews to actually listen.",52 people found this helpful,LOVED IT!!!,"""Love his narration! The introduction was superb and sets the book up. Great to hear his story in his own words. HIGHLY recommend!",32 people found this helpful,"Speak your truth, and find your peace.","I’m supportive of Harry and Meg trying to find their peace and explaining all the experiences which have shaped their lives. They deserve compassion and understanding for speaking their truth, let them be.",24 people found this helpful,,,,,,,
The Devil's Best Trick,Politics & Social Sciences,Randall Sullivan,Lane Hakel,,13,13,5/14/2024,25,1 rating,3,5,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,Performance was good,Interesting but lacking. The author meandered and the point of the book was unfortunately lost.,,,,,,,,,,,,,,
The Situation Room,Politics & Social Sciences,George Stephanopoulos,George Stephanopoulos,,10,7,5/14/2024,21.83,107,4.8,4.9,4.8,93,8,3,1,2,91,7,1,1,0,90,6,2,1,1,The unsung heroes,This was an interesting story that moved quickly and kept my attention. It’s a story that I’d like to hear more about.,1 person found this helpful,Most Informative for an “Old Guy” historian,"""The stories perspective from the basement of 1600 Pennsylvania Avenue and from the shared experiences of the participants",1 person found this helpful,Did not know this existed,I enjoyed listening to this author. Make sure to listen to the end as the have a q&a which is worth while listening too.,1 person found this helpful,,,,,,,
Nuclear War,Politics & Social Sciences,Annie Jacobsen,Annie Jacobsen,,11,19,3/26/2024,20.25,1337,4.7,4.6,4.7,1099,132,43,37,26,994,158,62,30,45,1055,115,53,35,31,We have taken our eye off the ball,"Too many of us have forgotten how dangerous the world is today. Yes, there is terrorism. But short of a catastrophic meteor strike, NOTHING will impact the lives of every human more than nuclear war. This isn’t just a book. To me, this is a call to action. It would be way too easy for the scenario described or something similar to happen. Especially when we have world leaders openly threatening nuclear strikes.",4 people found this helpful,Enthralling & Terrifying. An incredible and important read..,"""This deeply shook me. 10/10… I had just finished Kaplan’s “The Bomb” which breaks down a chronological history of the bomb Truman-to-Trump(phenomenal book). I saw Annie on Lex Friedman talking about this new work of hers and immediately preordered it. I’m an instant fan. The way she framed this book as a second by second timeline of “unthinkable” events while weaving in historical context and recently declassified technical info makes this a fricken masterpiece. It’s also more frightening than fiction and defies genre. Is it fiction? Sort of. Couldn’t this all happen in the next few hours? Yes. Doesn’t that make it non-fiction? This may be the only book one would need if they wanted to know more about nuclear weapons, why they are so dangerous, and what makes it such a complex issue.",2 people found this helpful,Terrifying but plausible,"This isn’t a normal “what if” book. It’s loaded with facts and insights from people in the know that make the scenario quite realistic and believable. A word of caution though…it’s not a book you can “unhear”. It will change your perspective on the future of humanity. That said, if everyone better understood the impacts and consequences of a nuclear exchange and EMP, perhaps we’d live in a safer world. I thank the author for writing this!",2 people found this helpful,,,,,,,
In My Time of Dying,Politics & Social Sciences,Sebastian Junger,Sebastian Junger,,4,22,5/21/2024,18.74,80,4.6,4.6,4.6,63,10,3,1,3,61,7,3,1,3,59,9,2,1,4,Skeptical but with an open mind,"A fresh perspective into a paranormal event that's true to the definition. The author helps bridge the gap between physical and metaphysical. If you can drag the ghost out of the darkness and begin to study it, the story would preface that investigation. This book may be an introduction into eventually understanding what we currently can not. We are the dog, looking at the television, and thinking the images are real.",,"Shorter than Moby Dick, but covers more ideas","""I finished it for the first time today. It’s the book he was born to and almost died to write. It is shorter than Moby Dick but manages to cover more ideas. It ends with a thank you to the 10 anonymous blood donors who saved his life and plea for more donors. I am going to have to read it again at least once maybe more.",,The interwoven fabric of science and the afterlife,Sebastian Junger’s experiences are outstanding and the fact that he openly discusses his own personal revelation of a NDE was an outstanding thought experiment for my own personal viewpoints. Nothing beats the introspective and objective analysis of Junger. Easy Five Stars on this one. Bravo!,,,,,,,,
The Courage to Be Disliked,Politics & Social Sciences,Ichiro Kishimi,Noah Galvin,,6,29,5/8/2018,14.16,6680,4.6,4.6,4.6,5112,898,370,138,162,4287,837,330,132,165,4333,785,320,130,156,Now.,"I feel that I would be doing a disservice by saying that you should read this book. I don’t want your perception of this book to be colorized buy anything anyone else says. However, it was not out of the blue that I downloaded Audible and listen to this book. So, I will say this, I feel as though this book is a important piece of the puzzle that is seeking happiness in my life. I hope it is a piece for you as well. Thank you.",3 people found this helpful,Awesome!,"""I'm still hasn't completed, but it has already changed the way I see things in my life! I'm constantly remembering about the life tasks and, and I realized how much I sabotage myself because of my fears. I really like this book!",2 people found this helpful,"It's quick read, dialogue while not dialectic","Beyond inspiring positive action, this book encourages us to face life lies and the self-defeating nature of trying to make other people happy. It is an excellent summary and introduction to Alfred Adler's philosophy of Individual (indivisible) Psychology.",2 people found this helpful,,,,,,,
How to Know a Person,Politics & Social Sciences,David Brooks,David Brooks,,7,27,10/24/2023,19.29,1440,4.7,4.7,4.7,1172,166,65,25,12,1126,164,40,17,13,1071,177,63,26,21,A Hug As We Begin 2024,"As we turn the corner and put to rest 2023, we approach all of the events ahead of us for 2024, with a certain amount of fear and anxiety. This is a wonderful book of wisdom from David Brooks that will help us approach those that we meet with heart, regardless of their point of view, regardless of whether they vote like you or not. We have to stick it out as a civilization and this book is a good how to manual for being able to do just that. ? highly recommended! I will listen to it as a second time.",2 people found this helpful,fabulous to experience,"""A great treat, read by the author . I'll revisit this one. highly recommend",1 person found this helpful,Already helping me love other people better!,I am touched by David’s vulnerability. ? Helps me to be vulnerable with those I care about. ?,1 person found this helpful,,,,,,,
12 Rules for Life,Politics & Social Sciences,Jordan B. Peterson,Jordan B. Peterson,12 Rules for Life,15,40,1/23/2018,28.8,91032,4.6,4.7,4.6,74072,8804,3412,1938,2806,66061,7401,2853,1311,2074,63460,8101,3160,1719,2655,"I laughed, I cried.","I'm so glad Prof Peterson decided via Twitter vote to narrate this himself. This book is amazing and I've already listened to a few of the chapters twice. if you don't already have a good therapist, read this a bunch. then do the self authoring suite. as someone living in rural America, with almost no hope of finding a psychologist, Jordan has changed my life.",24 people found this helpful,"Good philosophy, though I’m an atheist","""Great philosophical thoughts abound. It was a bit too preachy at points, a bit too biblical, but all points of view bring greater connections and understanding.",14 people found this helpful,An enlightening romp through a brilliant mind,"I can’t say enough good things about Jordan Peterson. He combines clarity of thought, precision of language, unflinching honesty, and a depth of knowledge about history, psychology, sociology and numerous other topics. If you’re not familiar with him, this book will give you an excellent exposure to his inimitable intelligence and wit. If you’ve been following his lectures on YouTube, you will hear many things in this book that you’ve heard before, and others you have not. I have only two criticisms; the first, and and the lesser of the two, is that he spends a bit too much time on some rather rambling personal stories for my taste. Peterson has so much to say of great importance, I find myself a bit bored with some of the extended stories of his growing up. The second criticism, the more substantial one, is that I would prefer he spend less time on the explanation of religious archetypes. While I find some of that interesting, I think it takes up too much of this book. Considering that there’s nothing in the title that would suggest a religious bent, I’m afraid it might turn some readers off. Those two exceptions aside, I enjoyed this book a lot. And more than that, I found it insightful, engaging and important.",13 people found this helpful,,,,,,,
The Demon of Unrest,Politics & Social Sciences,Erik Larson,Will Patton,,17,18,4/30/2024,24.75,499,4.5,4.5,4.6,349,94,37,12,8,350,73,25,15,16,348,81,32,12,6,Fascinating story great narration,Like every Larson book I found Demon extremely interesting and insightful. The author makes every story about topics I know alittle about enthralling. Since 3rd grade history I knew how the civil war started but after reading this I truly understand the complete story from both sides on how this came to be. Will Patton is amazing as usual.,1 person found this helpful,Best yet from Larsen,"""Suspenseful and timely in a modern America where talk of succession can be heard again. Will we ever learn? The narration from Patton is perfect.",1 person found this helpful,A great education,Giving a human and detailed account of the time made it a great book.,,,,,,,,
Third Girl from the Left,Politics & Social Sciences,Christine Barker,Betsy Struxness,,9,17,3/14/2023,19.95,23,4.9,4.9,4.8,20,2,0,0,0,18,1,1,0,0,17,2,0,1,0,Powerful and Poignant,"Christine and Betsy are a powerful team. Both know what it is to perform on Broadway, and both love humanity. This comes out as Betsy performs Christine's story - Third Girl from the Left. So rich in writing and performing, can’t say enough about this book on audible. A must listen!",5 people found this helpful,An interesting and powerful story,"""Really enjoyed this dual story centered around the iconic Broadway show, A Chorus Line and the Perry Ellis fashion house. So much love, pain and fortitude to move on.",3 people found this helpful,A Dancer’s Dream Told with Heart,"I lost a husband to HIV in 1997. With love, poignance, and beautiful prose, Ms. Barker portrays the confusion, heartbreak, and immense sense of loss during the early days of the AIDS pandemic. She also conveys the challenges women faced in industries dominated by men.",11 people found this helpful,,,,,,,
What This Comedian Said Will Shock You,Politics & Social Sciences,Bill Maher,Bill Maher,,12,50,5/21/2024,20.24,129,4.8,4.8,4.8,118,7,2,2,2,115,3,2,2,2,110,7,3,1,3,So Bill,"I loved it. I be been a fan for years. I hate when he takes time off from his show. The book was an excellent pool of his thoughts and humor. It’ll be one that I’ll listen to over and over, just like I watch his reruns.",1 person found this helpful,the eye-opening worldview inside,"""it appears he's not a believer in the higher power of the most high he mentioned about once",1 person found this helpful,Funny asl,This man is blunt force trauma to da head. Don’t agree on his view about Israel and Palestine but I get it. He is half Jew,1 person found this helpful,,,,,,,
Now or Never,"Mystery, Thriller & Suspense",Janet Evanovich,,Stephanie Plum,8,,11/19/2024,19.24,Not rated yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxic Prey,"Mystery, Thriller & Suspense",John Sandford,Robert Petkoff,Lucas Davenport,11,19,4/9/2024,20.25,916,4.5,4.5,4.5,647,151,66,35,17,638,119,57,29,19,609,129,65,33,26,Toxic Prey,The narrator. I enjoy Richard Ferone much more. Robert Petco’s was not enjoyable everything else was excellent.,1 person found this helpful,Excellente!,"""Fast paced, classic story of good versus evil. Lots of twists and turns make for an enjoyable and engaging story. Having read all the “Toxic” series, I rate this as the best. WELL DONE!",1 person found this helpful,Letty and Lucas on the case!,"The Prey stories are always good entertainment. I love Lucas, and though I can take Letty if I suspend my rational brain (let's face it--do you know any 25 year old any near as calm, cold, together, etc., and with such a job?) I enjoyed the story and the characters. It's a good reminder/warning of what could happen. ***slight spoiler: for such a genius, the location did seem like a poor choice. And as things progressed, I would have gone to a WalMart or fast food restaurant immediately with my vials, rather than wait. And if you know that the situation is hot in New Mexico--why not drive out of state? But, thank goodness for the world, even genius mad scientists make mistakes and the Davenports are very lucky.",,,,,,,,
Holly,"Mystery, Thriller & Suspense",Stephen King,Justine Lupe,Holly Gibney,15,24,9/5/2023,22.49,9350,4.2,4.4,4.2,5895,1445,655,464,892,6061,1173,578,288,552,5466,1283,578,402,921,"Of course it's excellent,","The 'reviews' in here that slam it are predictable and have nothing to do with the book, everything to do with America's current outbreak of fanaticism. Odd that his disappointed detractors have never noticed that King's human villains have always reflected his keen awareness of how real evil plays out among the citizens of small town and rural America - we recognize them and have known them from our schooldays. His familiar bad guys are everyday bullies, abusers, hypocrites, haters, and random sociopaths writ large and monstrously scary. There used to be a sane consensus about those types, in real life as well as fantastic novels. The books work so well because King understands understands vice, and American-style vice particularly, in all of its moral and psychological awfulness. He also understands American goodness, in all of its stubborn, earnest sanity. And he understands what's going on today. It's in his books because writers are culturally engaged, even when they seem or pretend not to be - literacy 101. And it's odd that the complainers are so exercised about Holly, anyway - the villains aren't even vicious sheriffs or lunatic clergy or woman-bullyers (plenty of those traditionally right wing bad guys in his works). Just some perverse old academics genially going about their evil versus a modest, luminously decent, politically temperate woman investigator, in a pandemic-exhausted, half-lunatic, Trumpy world that King could have written himself. Same as the one we're all trying to survive. And as always, it's delicious, creepy fun.",41 people found this helpful,Perfect narrator,"""I have six hours left. But I wanted to say a few things. Great choice for the narrator. I recognized Holly’s voice right away. Also, I love the politics. Yes, they are thrown in a lot, but it works with where this country was during Covid. So it works. More when I’m finished.",17 people found this helpful,Absolutely loved it,My first NEW Stephen King book since I became a Constant Reader. I love how King weaves modern day events into his stories. It makes it more real and believable.,9 people found this helpful,,,,,,,
Artemis,"Mystery, Thriller & Suspense",Andy Weir,Rosario Dawson,,8,57,11/14/2017,29.95,93605,4.4,4.7,4.2,51975,27674,10299,2670,987,65558,14651,3994,1019,527,43209,25459,11945,3535,1399,Disapointing,"Let me start by saying that the Martian is one of my favorite books. I didn't think Artemis could possibly be as good but I still expected something solid. Unfortunately Artemis just disappoints. The characters are very thin, the plot is not even average. I honestly never really cared what happened to the characters. The whole book felt lazy. Unlike the carefully crafted details of the Martian, this just said &quot;pass&quot; every time the writing got hard. It does not even feel like it was written by the same person. If you are buying this book because you loved the Martian, I would say, just skip it. There is so much better Sci-fi out there.",57 people found this helpful,Thin plot stuck on the moon,"""Compared to the seamless originality and gusto of The Martian, this is a patch-job of unlikeable caricatures of cultural groups in a lack-luster story. The science is believable, but nothing else warrants the waste of good intelligence on this bunch of characters or the shallow plot. The narrator was stellar, the only thing that breathed any life into this mess.",40 people found this helpful,Not so much,Difficult not to compare to The Martian. The characters were bland at best. Anytime a man writes from a woman’s POV it’s never quite right. I liked where it took place and how that might look in the future. Narrator was too affected. I’ll still read his next book. Sorry to be a downer but this was not great.,33 people found this helpful,,,,,,,
The Package,"Mystery, Thriller & Suspense",Sebastian Fitzek,Ari Fliakos,,6,37,4/18/2024,29.95,130,4,4.4,3.9,67,24,20,14,5,80,28,10,8,2,63,17,24,14,10,Predictable but entertaining,Quite a cliche story but narration was great and it was still an entertaining read,,Twisted,"""The book kept me on my toes because you had to follow everything to put the pieces together. it was a very good book",,Great story! even if you know somebody that has mental illness challenges. beware,took me awhile to get into this story but well written. well executed. good ending,1 person found this helpful,,,,,,,
Murder at the Dinner Party,"Mystery, Thriller & Suspense",C.J. Archer,Marian Hussey,Cleopatra Fox Mysteries,7,35,5/30/2024,19.95,6,4.7,5,4.6,5,0,1,0,0,5,0,0,0,0,4,0,1,0,0,Love the story,Another masterpiece! Keep them coming CJ! We are invested in Cleo and Harry. My current favorite book series.,,It was ok.,"""I'd like to finish this series because there are a lot of unanswered questions about the main character's past. But, the main character is so whiny and indecisive about her feelings that I'm not sure I'm going to make it to the end.",,,,,,,,,,,
The Girls in the Garden,"Mystery, Thriller & Suspense",Lisa Jewell,Colleen Prendergast,,9,21,3/7/2017,,2780,4.1,4.6,4,1230,900,490,111,49,1683,585,153,28,19,1004,786,490,128,60,Disappointing ending,"Was excited to read this book as I thoroughly enjoy this authors other works. However the plot was predictable, the guilty not only got away with it but were somewhat rewarded, and it left me being dissatisfied with the ending.",7 people found this helpful,never disappointed,"""Every book I read by Lisa Jewell, I begin thinking I can't get into it. then just in a snap I'm hooked. Round and round she takes me until I almost forget where we started. Then bam even if in the end it's as I suspected, it's the rollercoaster that keeps me coming back.",4 people found this helpful,"Not her best, to say the least","It pains me to say this, as Lisa Jewell is one of my favorite writers, but fans should give this a miss. The story felt disjointed and pointless, and lacked the in-depth and intimate character development so prevalent in her usually excellent books. I hated most of the characters and found few of the adults sympathetic. The ending was unsatisfying and felt unjust. Ms. Jewell has many other books that are superb, and which have given me hours of entertainment that I can forgive her for this one dud.",2 people found this helpful,,,,,,,
Dust,"Mystery, Thriller & Suspense",Patricia Cornwell,Kate Reading,Kay Scarpetta,14,7,11/21/2023,,32,4.5,4.6,4.6,22,4,6,0,0,21,4,1,2,0,22,3,3,1,0,Great story!,I loved it. This was a great story. I especially loved chapter 44 . However the whole story was good!,,Details,"""Details and descriptions of people and crime scenes and detailed personalities of people in the book",,Narrarator,Do not like the new narrarator. The clipped cadence of Kay. The Jersey accent. Very distracting and disrupted the flow of the story.,,,,,,,,
Extinction,"Mystery, Thriller & Suspense",Douglas Preston,David Aaron Baker,,12,8,4/23/2024,20.24,572,4.4,4.6,4.3,335,156,58,13,10,386,104,28,12,8,306,139,62,16,14,Excellent,I loved this audiobook! I couldn’t put it down. I think Douglas Preston will write another book continuing with what comes next…,,Not much,"""It was just not a good story not much that kept one engaged. Too much of Jurassic park over it. Do not recommend .",,The individual characters,"About midway through, story lost momentum and felt like the ending had to be made to tie up the awkward story line",,,,,,,,
When Ashes Fall,"Mystery, Thriller & Suspense",Marni Mann,Ava Erickson,,6,51,1/15/2019,19.95,1685,4.5,4.7,4.5,1123,363,138,27,34,1245,239,83,16,13,1078,314,135,32,35,"UNFORGETTABLE.. SUCH PASSION, RAW EMOTION & LOVE","Oh Marni Marni Marni, you’ve absolutely wrecked me. This hauntingly moving book was my first from you, and now that I’ve found you, it certainly won’t be my last because I loved the precision of your words, your pace, your balance and your flow. As the story slowly unfurled I was intrigued.. then captivated.. then obsessed.. then cautiously hopeful.. then confused.. then moved.. then heartbroken.. and finally you made the sun come out again for the heroine and for me. I initially bought your book because of Aiden, Ava and Teddy.. three trusted and well-loved voices who narrated your touching past and present chapters so wonderfully well and together they made your very emotional and moving story unforgettable. Worth a credit? There are two love stories here.. but no cheating. There is pain.. but there is pleasure too. There are dark days.. but there will be light at the end of the tunnel. There is unconditional love shining throughout this book.. but there is confusion and deep sadness too. I wanted to hope.. but feared too. It’s not your typical Contemporary Romance.. but it is a beautiful love story. And, IMO, yes it’s absolutely creditworthy.",12 people found this helpful,WOW!,"""I really can't say enough, yet at the same time there are no words. Beautiful Story, superb writing and narration. Wish I could give 10 stars!! Bravo!",10 people found this helpful,6 Stars,"Six stars. Not enough words to describe. I recommend that you don't read the reviews and just go into this book blind. I did. I didn't even read the blurb, just jumped right in based off the recommendation from a friend. I'm so glad I did. I didn't cry reading this book but it is definitely worthy of tears. It just takes a lot for a book to make me cry. When Ashes Fall is told in first person, multiple person POV. Overall feelings: Wow. That is all. Audible: The narrators were fantastic. I highly recommend When Ashes Fall as an audiobook.",6 people found this helpful,,,,,,,
Own Me,"Mystery, Thriller & Suspense",K. A. Tucker,Avery Reid,Wolf Hotel Series,9,23,3/19/2024,17.19,796,4.7,4.6,4.7,638,104,44,9,1,588,108,59,16,14,616,107,48,10,4,I have loved this series,"Such a great addition to their love story! Really enjoyed it! My only critique is why did the narrator change her voice for this book!? She doesn’t sound like the sweet Abby we love.. she sounds too old, nasally and stuck up especially towards the beginning of the book.",4 people found this helpful,Loved the series but…,"""It felt rushed and unfinished. There were some scenes that were touched on but could’ve had more detail. There should be another book.",1 person found this helpful,Love the series- last narrator not as good,"The wolf series was good, can’t be say about sex. This last narrator’s performance was not as good as others but still enjoyed the story.",1 person found this helpful,,,,,,,
The Many Lives of Mama Love (Oprah's Book Club),"Mystery, Thriller & Suspense",Lara Love Hardin,Lara Love Hardin,,8,59,8/1/2023,18.74,834,4.8,4.8,4.8,732,79,17,5,1,678,95,19,3,3,703,70,16,5,4,Well written and great story,Lara writes beautifully and her story sucks you in immediately. The truth of it all is utterly engaging and made more so by the fact that she narrates it herself. Very worth the read.,2 people found this helpful,Inspiring and Eye Opening Story,"""Again, it’s so hard to rate a memoir or nonfiction, because you’re essentially rating their lives. But Lara Loves story and her telling of that story is truly incredible. ??? I picked this one as my BOTM but nonfictions mean so much to me when I get to hear the author tell their story with their own voice - audiobook is definitely the way to go with this one! ??",,Amazing Story of Resilience,"I love stories like this and Lara is so incredibly inspiring. From the literal rock bottom to the job of her dreams with her beautiful family, I am just in awe of all she’s accomplished. Officially a huge fan. Her writing is incredible and I felt like I was there every single moment. What a beautiful story of the power of a mother’s love.",,,,,,,,
The Wife Upstairs,"Mystery, Thriller & Suspense",Freida McFadden,Angie Kane,,10,3,11/23/2021,25,3407,4.4,4.4,4.4,2202,728,290,112,75,2162,553,246,127,101,2044,668,259,120,97,Great book,"I Loved this one! Finished it all in one day. Edge of my seat, very twisted and every level and kept me guessing",6 people found this helpful,Exciting,"""I couldn’t put it down! This is my second of her books and I’m about to start my third.",5 people found this helpful,Didn’t see that coming,I loved the book and twists. It was a good suspense and I loved the narrator,5 people found this helpful,,,,,,,
Gray After Dark,"Mystery, Thriller & Suspense",Noelle West Ihli,Megan Tusing,,9,12,4/30/2024,33.9,294,4.7,4.8,4.6,222,52,14,4,2,244,36,7,1,1,214,50,18,5,2,Incredible narration and character development,I loved the story telling the characters feel real to me days after I finished I’m still wondering how the rest of their lives turned out. I also really appreciated that while it deals with essay topics it wasn’t graphic. This was a well written book and the narrators were amazing! Who needs Netflix when you have books like this !!,,Had my attention from beginning to end,"""I really enjoyed this story as well as the performance. I frequently caught myself really thinking I was there with the main characters and cheering them on. Glad I stumbled upon this author/story/performer.",,Amazing narrators!,"The narrators did an amazing job. The book was great, I enjoyed every moment of it!",1 person found this helpful,,,,,,,
Shadow Princess,"Mystery, Thriller & Suspense",Caroline Peckham,Bridget Bordeaux,Zodiac Academy,21,18,10/26/2021,29.95,2626,4.7,4.8,4.7,2108,358,111,32,17,1915,271,78,23,16,1826,292,115,38,25,Binge Worthy,I love this entire series! The characters are amazing with real struggles. The plot is not predictable and honestly I love the cliff hangers!,,Great book,"""The book was great. Only complaint is the male narrator sort of stopped changing his voice for the different characters. Darius sounded like Orion.",,Wow,"What a story! Some of the things annoyed the living daylights out of me (Tory, I’m looking at you!) and why the hell would the book the way it did? Seriously?! Dammit, now I have to get the next one to know what the hell happens.",,,,,,,,
Sick Boys,"Mystery, Thriller & Suspense",Clarissa Wild,Corvin King,Spine Ridge University,17,9,11/14/2023,49.9,454,4.5,4.6,4.4,324,68,27,19,16,349,57,20,12,8,304,65,32,22,23,Simply riveting...,Wow! What a rollercoaster! Worth every minute listening to it. Will be listening to it again and again in the future.,1 person found this helpful,Jeeze,"""So much better than I expected. Loved it. Hate to say I have a favorite bc I love them all but Dylan, his character had me melting from the start. Great story",,So many twists and turns,"I lived this. The dynamic personalities of all the characters make them very well rounded and different. Some things can be predictable (I have ADHD so I can predict things more than some), but some things come out of left field and sends you down another twist from nowhere. Felix... He is... Perfect. *chef's kiss*",,,,,,,,
The Terminal List,"Mystery, Thriller & Suspense",Jack Carr,Ray Porter,Terminal List Book Series,12,3,3/6/2018,20.24,54915,4.8,4.8,4.7,45832,6389,1547,606,541,42435,5679,1182,272,212,40803,5896,1605,618,664,Fantastic!,Fantastic read/listen. Second time through and still love it. It is very gear heavy but jack does love the gear. And it does help paint the picture. Got all three and loved each one the same,6 people found this helpful,Gripping from beginning to end,"""I am sad that I did not find these sooner, amazing story and great narrator to bring it to life",6 people found this helpful,Downloaded Audible just for this book.,"After seeing Jack Carr on the Joe Rogan Experiences I immediately downloaded the book using my free credit on Audible to download it. After listening through the Terminal List I could not wait until my next credit to download the next book (True Believer) and I am almost through that. Long story short, Jack Carr is my new favorite author.",5 people found this helpful,,,,,,,
Murder Your Employer,"Mystery, Thriller & Suspense",Rupert Holmes,Neil Patrick Harris,,14,13,2/21/2023,18.74,963,4.6,4.8,4.6,707,162,60,21,13,743,85,18,10,3,620,160,44,24,12,Loved.,This is my Harry Potter. Seriously. The murdery kind of school. Loved this. Can’t wait to see what’s next.,2 people found this helpful,BEST BOOK EVER!,"""It’s got dark humor, it makes you think, laugh, cry. Jaw dropping moments that leave you breathless. It’s like the ultimate Harry Potter but for murderers. HOW UNIQUE! I can’t wait for the next volume. Almost cried when I finished this, I didn’t want it to end",1 person found this helpful,A fun and clever story from beginning to end!,"This is truly one of the best things I’ve read in a long time. The tone is darkly comedic, the premise is fun, the characters are mostly likable people who have been thrust into morally gray areas, and NPH and Simon Vance both gave an excellent performance. These are all winning features, in my opinion. I really loved Cliff, Gemma, and Doreah/Dulcie. They all had their own unique personalities and struggles and the story gave just enough time to each of them, as well as a nice sprinkling of other tertiary (but still compelling) characters. It provided a good mix of character development and murder plotting, which is hard to find in modern murder mystery/crime stories. I also loved that the book gave us a solid introduction to McMasters and then changed pace to focus on the “theses” of these three characters. In the end, the book allows us to relish a bit in the satisfaction of sweet revenge while tempering that out with the consequences of taking another human life. I was very happy with the way the story concluded. I had been a bit worried that it said Volume 1 but there weren’t really any major cliffhangers, while still leaving room for a continuation of the series. I hope Holmes does release more of these books because I found this one absolutely delightful!",1 person found this helpful,,,,,,,
Then She Was Gone,"Mystery, Thriller & Suspense",Lisa Jewell,Helen Duff,,10,12,4/17/2018,26.9,80681,4.6,4.6,4.5,54630,19333,5077,1005,636,52598,14127,3702,831,471,47624,16942,5125,1131,679,"WOW, great book","I just finished listening to this book, and I am sad for it to be over. I found it to be very captivating. Yes, there is some dark content, but that's what psychological thrillers usually are, right? I loved the narrator, and I got caught up in the story right away feeling like I was actually there with the family. It was an emotional book with a satisfying ending. I hate when they end with a big question. I don't want to leave any spoilers, but this book had great characters to hate, as well as to relate to. I loved how the book really went into detail with the characters feelings and emotional states. 5 stars from me.",282 people found this helpful,Good but the end was a bit meh.,"""Excellent narration with lots of twists. I thought I had it figured out early on, but not quite. Interesting story but it kind of fell apart at the end where it seemed to fizzle out , dragging and becoming uninteresting for the last hour or so.",5 people found this helpful,Good but sad,"I thought this was a very good book but be prepared to be sad, this one hit me hard.",4 people found this helpful,,,,,,,
The Perfect Marriage,"Mystery, Thriller & Suspense",Jeneva Rose,Neil Hellegers,,8,52,12/29/2020,26.9,15834,4.3,4.4,4.2,9626,3246,1524,771,667,9119,2794,1219,506,432,8484,2698,1304,734,830,great read!,loved it! keeps you guessing and what a twist! looking forward to more from her!,4 people found this helpful,Wow,"""So unexpected. Amazing. A must read for sure. I was totally not expecting the ending.",2 people found this helpful,I was ready for the Book of my life!,"My coworkers had built this book up to the point it couldn't be lived upto. Firstly, I didn't like the narrators, especially the male. Second, I just think it was ok. I liked it but it was so built up in my mind, it was a let down. So sorry Jeneva Rose. I was so wanting to love this book!",2 people found this helpful,,,,,,,
